ra,dec,z,class,zWarning
176.17229,23.819678,0.1079505,GALAXY,0
176.13635,24.008181,0.2558802,GALAXY,0
176.40033,24.266926,0,GALAXY,134
176.15255,24.129112,0.1041163,GALAXY,0
176.14504,24.045208,0.09932037,GALAXY,0
176.152,23.848111,0.3367595,GALAXY,0
175.99809,24.431362,0.1760607,GALAXY,0
176.38499,24.212638,0,GALAXY,134
176.01129,24.247721,0.1238241,GALAXY,0
176.18236,24.468621,1.158618,QSO,0
176.20418,24.314359,0.2888353,GALAXY,0
176.17513,24.148112,1.673293,QSO,0
176.27245,24.189283,0.08538553,GALAXY,0
176.18191,24.273225,0.1753349,GALAXY,0
176.22398,24.623139,2.575622,QSO,0
176.11643,24.533578,0.301763,GALAXY,0
176.11848,24.551883,3.043877,QSO,0
176.19351,24.557731,0.08766117,GALAXY,0
176.2438,24.164572,0.08594837,GALAXY,0
176.16642,24.323993,0.7193044,GALAXY,5
176.29135,24.101646,0,GALAXY,134
175.69519,23.810109,0.1084865,GALAXY,0
175.48511,23.377109,0.1573196,GALAXY,0
175.5056,23.804666,0.08281333,GALAXY,0
175.74758,23.464867,0.1652317,GALAXY,0
175.61758,23.381968,0.5956588,GALAXY,0
175.46941,23.714602,1.512243,QSO,0
175.48277,23.780844,0.1667551,GALAXY,0
175.82254,23.578909,0.1476491,GALAXY,0
175.59733,23.481449,0.1052069,GALAXY,0
176.11315,23.848004,0.1083749,GALAXY,0
175.72014,23.669118,0.7672909,GALAXY,5
175.67073,23.565485,0.1471172,GALAXY,0
175.75979,23.536421,0.1659297,GALAXY,0
175.76324,23.494182,0.1656631,GALAXY,0
175.67695,23.537274,0.08791541,GALAXY,0
176.12537,23.760057,0.1212573,GALAXY,0
175.51546,23.492337,5.032935E-05,STAR,0
175.55208,23.747447,0.0843321,GALAXY,0
175.55105,23.547369,1.592032,QSO,0
175.5195,24.037507,0.1614544,GALAXY,0
175.68025,24.159213,0.1240321,GALAXY,0
175.65706,24.53533,0.03057917,GALAXY,0
175.88622,24.304756,0.08001226,GALAXY,0
175.51185,24.138048,0.1917169,GALAXY,0
175.90887,24.16976,0.1049357,GALAXY,0
175.70398,24.283603,-0.003888334,STAR,5
175.8951,23.944317,0.02251104,GALAXY,0
175.60675,24.074896,0.1249416,GALAXY,0
175.57113,24.145825,0.255989,GALAXY,0
175.50741,23.916476,0.1381775,GALAXY,0
175.61064,24.570808,1.192847,QSO,0
175.60857,24.532495,0.3354374,GALAXY,0
175.97284,24.411229,0.2547062,QSO,0
175.73991,24.674143,0.1815515,GALAXY,0
175.75481,24.370443,0.03037994,GALAXY,0
175.99488,24.34386,0.3025622,GALAXY,0
175.92371,24.32815,0.04999147,GALAXY,0
175.74585,24.307843,0.1320622,GALAXY,0
175.72301,24.405233,0.4698901,GALAXY,20
175.23138,23.3651,1.53905,QSO,0
175.39321,23.608564,0.3674288,GALAXY,5
175.40088,23.387887,0.4332303,GALAXY,0
175.21703,23.756105,0.139013,GALAXY,0
175.36488,23.847351,0.126597,GALAXY,0
175.18486,23.722204,0.1762662,GALAXY,0
175.28051,23.518936,0.1371906,GALAXY,0
175.34627,23.561517,0.3426021,GALAXY,0
175.15452,23.740108,0.362918,GALAXY,0
175.25525,23.653639,0.1370571,GALAXY,0
175.30743,23.828085,0.1299701,GALAXY,0
175.36982,23.657054,0.08294842,GALAXY,0
175.3705,23.777916,0.1347834,GALAXY,0
175.1556,23.554336,0.08331279,GALAXY,0
175.43807,23.69535,0.08415485,GALAXY,0
175.33549,23.799561,0.1296513,GALAXY,0
175.28369,23.631005,0.1399249,QSO,0
175.35619,23.401638,0.1314484,GALAXY,0
175.32395,23.692337,0.3524598,GALAXY,0
175.25839,23.712553,0.1389941,GALAXY,0
175.31528,24.079667,1.455749,QSO,0
175.34783,24.260188,0.4992914,QSO,5
175.27169,24.203598,0.1380234,GALAXY,0
175.18463,23.993502,0.1536945,GALAXY,0
175.23664,24.076916,0.08158781,GALAXY,0
175.28322,24.349766,1.590951,QSO,0
175.24773,23.878437,0.1765677,GALAXY,0
